2;0,0,;1:BTC-DOPE_64:BTC-DMD_2:2:0.7931662822749637:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-NXC_57:BTC-ENG_1:2:0.29281880718503084:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:ETH-NEO_86:ETH-CVC_2:2:0.6395013918314223:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-VRC_16:BTC-BURST_3:2:-0.39330496344502164:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-PTC_19:BTC-OMG_4:2:0.16980600075128294:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:ETH-POWR_78:BTC-START_2:2:0.009461348899427735:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-CFI_88:BTC-BCPT_3:2:0.7737446617359232:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-SPR_46:BTC-GNO_2:2:0.6556167188549014:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:ETH-CFI_25:BTC-XDN_3:2:0.26709292516539884:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-XRP_22:BTC-FAIR_4:2:0.21927699860005312:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:ETH-NMR_21:USDT-BCC_4:2:0.6215617176073036:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-AGRS_0:BTC-DNT_5:2:0.8713506195228917:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-TKS_36:BTC-WINGS_4:2:0.7272645566009326:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-SNT_21:BTC-SYS_1:2:-0.8109460296464046:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-ZEC_60:USDT-OMG_3:2:0.2789337343867573:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-BYC_76:BTC-NXC_1:2:-0.20745004041025306:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-BLITZ_23:BTC-ADX_3:2:0.8828871268131215:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-POT_52:BTC-PTC_5:2:-0.7796107029080601:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:USDT-OMG_67:BTC-SWT_4:2:0.009740884240330816:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-XMY_53:BTC-NXC_2:2:-0.34522469539004885:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:ETH-LTC_33:BTC-BRX_5:2:0.16521502067411498:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-XLM_82:BTC-POWR_2:2:-0.1976466102837049:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:ETH-RLC_46:BTC-AMP_3:2:-0.028391672058141193:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-VRC_88:ETH-QRL_5:2:-0.35461708049352847:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-NMR_74:ETH-FCT_3:2:-0.7446120331067372:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:ETH-DGB_63:BTC-ENG_3:2:0.42717364743166675:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-ZRX_45:BTC-RLC_1:2:-0.11213192882852052:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-EXP_34:ETH-LUN_5:2:0.5562033287142156:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-GOLOS_12:BTC-PART_4:2:-0.6515996074125965:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-FLDC_50:BTC-SHIFT_3:2:-0.05673412181424453:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-SEQ_12:BTC-START_5:2:0.7513902542297031:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:ETH-STORJ_48:BTC-FCT_4:2:0.36947246605538164:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-QRL_70:USDT-BTG_2:2:0.5345422647446414:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-EXP_27:BTC-POWR_3:2:-0.02966720772365461:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:ETH-DNT_71:BTC-WAX_1:2:-0.06294538577408537:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-DCT_76:BTC-SHIFT_5:2:-0.1308828029756235:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
